Latitude,Longitude,Zone,Land-Use
45.5077039,9.2056532,zone9,grass
45.5077393,9.2062238,zone9,grass
45.5074104,9.2062678,zone9,grass
45.5074207,9.2063429,zone9,grass
45.5073535,9.2063516,zone9,grass
45.5073347,9.2061776,zone9,grass
45.5072947,9.2061094,zone9,grass
45.5072265,9.2060976,zone9,grass
45.5069712,9.2061051,zone9,grass
45.5069571,9.2057308,zone9,grass
45.5077039,9.2056532,zone9,grass
45.5105099,9.2046087,zone9,grass
45.5107277,9.2047316,zone9,grass
45.5104783,9.2056316,zone9,grass
45.5102605,9.2055087,zone9,grass
45.5105099,9.2046087,zone9,grass
45.4974758,9.1867509,zone9,grass
45.4974891,9.1870749,zone9,grass
45.4974982,9.187117,zone9,grass
45.4975232,9.1871333,zone9,grass
45.4975858,9.1871008,zone9,grass
45.4975971,9.1870781,zone9,grass
45.4975983,9.1868007,zone9,grass
45.4974758,9.1867509,zone9,grass
45.4962961,9.186176,zone9,grass
45.4963178,9.1862499,zone9,grass
45.496372,9.1862081,zone9,grass
45.4962961,9.186176,zone9,grass
45.4961431,9.1861471,zone9,grass
45.4961437,9.1861826,zone9,grass
45.4961303,9.1862763,zone9,grass
45.4962215,9.1863281,zone9,grass
45.4962776,9.1862854,zone9,grass
45.4962444,9.1861559,zone9,grass
45.4961877,9.186133,zone9,grass
45.4961431,9.1861471,zone9,grass
45.4904358,9.1890374,zone9,grass
45.4904164,9.1889868,zone9,grass
45.4903901,9.188943,zone9,grass
45.4903579,9.188908,zone9,grass
45.4903214,9.1888833,zone9,grass
45.490282,9.18887,zone9,grass
45.4902416,9.1888686,zone9,grass
45.4902019,9.1888793,zone9,grass
45.4901646,9.1889015,zone9,grass
45.4901313,9.1889343,zone9,grass
45.4901035,9.1889763,zone9,grass
45.4900825,9.1890255,zone9,grass
45.4900691,9.18908,zone9,grass
45.4900639,9.1891372,zone9,grass
45.4900672,9.1891947,zone9,grass
45.4900788,9.1892499,zone9,grass
45.4900982,9.1893005,zone9,grass
45.4901245,9.1893443,zone9,grass
45.4901567,9.1893793,zone9,grass
45.4901932,9.189404,zone9,grass
45.4902326,9.1894173,zone9,grass
45.490273,9.1894187,zone9,grass
45.4903127,9.189408,zone9,grass
45.49035,9.1893858,zone9,grass
45.4903833,9.189353,zone9,grass
45.4904111,9.189311,zone9,grass
45.4904321,9.1892618,zone9,grass
45.4904455,9.1892074,zone9,grass
45.4904507,9.1891502,zone9,grass
45.4904474,9.1890927,zone9,grass
45.4904358,9.1890374,zone9,grass
45.4851736,9.1953034,zone9,construction
45.4849889,9.195353,zone9,construction
45.4849583,9.1953024,zone9,construction
45.4849043,9.1951732,zone9,construction
45.4850333,9.1949472,zone9,construction
45.4849862,9.1948873,zone9,construction
45.4850874,9.1947055,zone9,construction
45.4851363,9.194661,zone9,construction
45.4853389,9.1945943,zone9,construction
45.4851366,9.1950387,zone9,construction
45.4851516,9.1951465,zone9,construction
45.4851736,9.1953034,zone9,construction
45.5124481,9.1662114,zone9,grass
45.5124178,9.1662338,zone9,grass
45.5123078,9.1662788,zone9,grass
45.512319,9.1663001,zone9,grass
45.5124324,9.1662743,zone9,grass
45.5124796,9.1662743,zone9,grass
45.5125481,9.1662922,zone9,grass
45.5125773,9.1663035,zone9,grass
45.5125998,9.1662945,zone9,grass
45.5126155,9.1662698,zone9,grass
45.5126301,9.1662215,zone9,grass
45.5126233,9.1661631,zone9,grass
45.5125964,9.1661328,zone9,grass
